Record ID,SchoolName,Borough,Building,Street,Address Line 1,City,ZipCode,Last Inspection Date,Permittee,Inspection Date,Code,Violation Description,Critical Level,LATITUDE,LONGITUDE,COMMUNITYBOARD,COUNCILDISTRICT,CENSUSTRACT,BIN,BBL,NTA
82519,YESHIVA OHEL MOSHE,Brooklyn,7914,BAY PARKWAY,7914 BAY PARKWAY,"Brooklyn, NY 11214",11214,11/07/2019,YESHIVA OHEL MOSHE,01/02/2019,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,G,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
346974,PRE-K CENTER AT 1355 84 STREET,Brooklyn,1355,84TH ST,1355 84TH ST,"BROOKLYN, NY 11228",11228,11/13/2019,NEW YORK CITY DEPARTMENT OF EDUCATION,01/02/2019,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",G,40.61445885371,-74.011424972083,310,43,015000,3335077,3063090048,BK30
86914,ST. FRANCES DE CHANTAL SCHOOL,Bronx,2965,HARDING AVENUE,2965 HARDING AVENUE,"BRONX, NY 10465",10465,11/07/2019,NEW YORK CITY DEPARTMENT OF EDUCATION,01/02/2019,,,,40.816459946208,-73.81340263798,210,13,011800,,2,BX52
326944,THE GARVEY SCHOOL,Bronx,950,BAYCHESTER AVE,950 BAYCHESTER AVE,"BRONX, NY 10475",10475,10/22/2019,THE GARVEY SCHOOL,01/02/2019,10J,Hand wash sign not posted,G,40.878310043177,-73.833120968768,210,12,046201,2097914,2051410120,BX13
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",NV,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,G,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",C,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,10I,"Single service item reused, improperly stored, dispensed; not used when required.",G,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,G,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,10H,Proper sanitization not provided for utensil ware washing operation.,G,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
326944,THE GARVEY SCHOOL,Bronx,950,BAYCHESTER AVE,950 BAYCHESTER AVE,"BRONX, NY 10475",10475,10/22/2019,THE GARVEY SCHOOL,01/02/2019,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,C,40.878310043177,-73.833120968768,210,12,046201,2097914,2051410120,BX13
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",G,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
54718,P.S. 160 BRONX,Bronx,4140,HUTCHINSON RIVER PARKWAY,4140 HUTCHINSON RIVER PARKWAY,"BRONX, NY 10475",10475,07/17/2019,NEW YORK CITY DEPARTMENT OF EDUCATION,01/02/2019,,,,40.864669309199,-73.824301141589,210,12,030200,2072352,2051350200,BX13
124881,JEWISH INSTITUTE OF QUEENS,Queens,6005,WOODHAVEN BOULEVARD,6005 WOODHAVEN BOULEVARD,"ELMHURST, NY 11373",11373,09/20/2019,JEWISH INSTITUTE OF QUEENS,01/02/2019,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,G,40.73124910255,-73.871560397697,406,29,068700,4072178,4030880001,QN18
87066,ST. JOSEPH SCHOOL FOR THE DEAF,Bronx,1000,HUTCHINSON RIVER PARKWAY,1000 HUTCHINSON RIVER PARKWAY,"BRONX, NY 10465",10465,11/07/2019,NEW YORK CITY DEPARTMENT OF EDUCATION,01/02/2019,,,,40.827725667003,-73.835810235245,210,13,011000,2079869,2055400003,BX52
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,09A,Canned food product observed dented and not segregated from other consumable food items.,G,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
124881,JEWISH INSTITUTE OF QUEENS,Queens,6005,WOODHAVEN BOULEVARD,6005 WOODHAVEN BOULEVARD,"ELMHURST, NY 11373",11373,09/20/2019,JEWISH INSTITUTE OF QUEENS,01/02/2019,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",G,40.73124910255,-73.871560397697,406,29,068700,4072178,4030880001,QN18
331805,CONGREGATION CHASIDEI BELZ,Brooklyn,7914,BAY PKWY,7914 BAY PKWY,"BROOKLYN, NY 11214",11214,11/21/2019,CONGREGATION CHASIDEI BELZ BM,01/02/2019,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,C,40.605747025611,-73.989865807054,311,44,027000,3162913,3062760043,BK28
