system_cod,location_c,location_n,BEDS,Managed_by,location_t,Location_1,Grades_tex,Grades_fin,open_date,Status_des,Primary_bu,primary_ad,X_COORDINA,Y_COORDINA,LONGITUDE,LATITUDE,Community_,Council-di,Census_tra,Borough_bl,NTA,NTA_Name,Geographic,Administra,Administ_1,communit_1,LOC_CODE
15K001,K001,P.S. 001 The Bergen,331500010001,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1965/07/01 00:00:00.000,Open,K001,309 47 STREET,"981081","175710",-74.011420000000001,40.648958999999998,"307","38","8000","3007550022",BK32,Sunset Park West,"15","15",COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",K001
17K002,K002,Parkside Preparatory Academy,331700010002,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1994/07/01 00:00:00.000,Open,K002,655 PARKSIDE AVENUE,"997686","178433",-73.951575000000005,40.656422999999997,"309","40","80200","3050500051",BK60,Prospect Lefferts Gardens-Wingate,"17","17",COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",K002
13K003,K003,P.S. 003 The Bedford Village,331300010003,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1950/07/01 00:00:00.000,Open,K003,50 JEFFERSON AVENUE,"996670","187864",-73.955219000000000,40.682310999999999,"303","36","22700","3019980001",BK69,Clinton Hill,"13","13",COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",K003
75K004,K004,P.S. K004,307500013004,DOE,Special Education,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06,07,SE",1999/07/01 00:00:00.000,Open,K273,923 JEROME STREET,"1017745","179209",-73.879276000000004,40.658499999999997,"305","42","107800","3044010001",BK82,East New York,"19","75",CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",K004
16K005,K005,P.S. 005 Dr. Ronald McNair,331600010005,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1966/07/01 00:00:00.000,Open,K005,820 HANCOCK STREET,"1005891","188938",-73.921970000000002,40.685240999999998,"303","41","37700","3014900001",BK35,Stuyvesant Heights,"16","16",COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",K005
17K006,K006,Norma Adams Clemons Academy,331700010006,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05",1993/07/01 00:00:00.000,Open,K006,43 SNYDER AVENUE,"996382","175718",-73.956278999999995,40.648972999999998,"314","40","79400","3051030079",BK95,Erasmus,"17","17",COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",K006
19K007,K007,P.S. 007 Abraham Lincoln,331900010007,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1999/07/01 00:00:00.000,Open,K007,858 JAMAICA AVENUE,"1019475","190401",-73.872983000000005,40.689213000000002,"305","37","118201","3041060039",BK83,Cypress Hills-City Line,"19","19",COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,K007
13K008,K008,P.S. 008 Robert Fulton,331300010008,DOE,General Academic,K-8,"0K,01,02,03,04,05,08,SE","PK,0K,01,02,03,04,05",1907/07/01 00:00:00.000,Open,K008,37 HICKS STREET,"986235","194564",-73.992840999999999,40.700709000000003,"302","33","100","3002110001",BK09,Brooklyn Heights-Cobble Hill,"13","13",COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",K008
13K009,K009,P.S. 009 Teunis G. Bergen,331300010009,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1957/07/01 00:00:00.000,Open,K009,80 UNDERHILL AVENUE,"993588","186494",-73.966333000000006,40.678553999999998,"308","35","20500","3011450026",BK64,Prospect Heights,"13","13",COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",K009
15K010,K010,"Magnet School of Math, Science and Design Technolo",331500010010,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",1930/07/01 00:00:00.000,Open,K010,511 7 AVENUE,"988149","180065",-73.985945999999998,40.660912000000003,"307","38","14900","3008690001",BK37,Park Slope-Gowanus,"15","15",COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",K010
13K011,K011,P.S. 011 Purvis J. Behan,331300010011,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1958/07/01 00:00:00.000,Open,K011,419 WAVERLY AVENUE,"993710","189169",-73.965890000000002,40.685896000000000,"302","35","19900","3019620010",BK69,Clinton Hill,"13","13",COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",K011
17K012,K012,Dr. Jacqueline Peek-Davis School,331700010012,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1993/07/01 00:00:00.000,Open,K012,430 HOWARD AVENUE,"1006415","184524",-73.920095000000003,40.673124000000001,"316","41","36300","3014570032",BK79,Ocean Hill,"23","17",COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",K012
19K013,K013,P.S. 013 Roberto Clemente,331900010013,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1975/07/01 00:00:00.000,Open,K013,557 PENNSYLVANIA AVENUE,"1013844","181232",-73.893327999999997,40.664067000000003,"305","42","112600","3038230001",BK85,East New York (Pennsylvania Ave),"19","19",COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,K013
22K014,K014,J.H.S. 014 Shell Bank,332200010014,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1952/07/01 00:00:00.000,Open,K014,2424 BATCHELDER STREET,"1001439","155413",-73.938107000000002,40.593232000000000,"315","48","59600","3074240001",BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"22","22",COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",K014
20K314,K314,PS 314 Luis Munoz Marin,332000010314,DOE,General Academic,Elementary,SE,"PK,0K,01,02,03,04,05",1992/02/14 00:00:00.000,Closed,K314,330 59 STREET,"978978","173219",-74.019000000000005,40.642200000000003,"307","38","7400","3008620012",BK32,Sunset Park West,"20","20",COMMUNITY SCHOOL DISTRICT 20,Karina Costantino,K314
15K015,K015,P.S. 015 Patrick F. Daly,331500010015,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1968/07/01 00:00:00.000,Open,K015,71 SULLIVAN STREET,"980959","185957",-74.011864000000003,40.677084999999998,"306","38","5300","3005660001",BK33,Carroll Gardens-Columbia Street-Red Hook,"15","15",COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",K015
14K016,K016,P.S. 016 Leonard Dunkly,331400010016,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1918/07/01 00:00:00.000,Open,K016,157 WILSON STREET,"994772","196519",-73.962048999999993,40.706068999999999,"301","33","53500","3021770001",BK72,Williamsburg,"14","14",COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",K016
14K017,K017,P.S. 017 Henry D. Woodworth,331400010017,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1921/07/01 00:00:00.000,Open,K017,208 NORTH  5 STREET,"996087","199871",-73.957300000000004,40.715268000000002,"301","34","51900","3023450001",BK73,North Side-South Side,"14","14",COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",K017
14K018,K018,P.S. 018 Edward Bush,331400010018,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1916/07/01 00:00:00.000,Open,K018,101 MAUJER STREET,"999028","198274",-73.946695000000005,40.710880000000003,"301","34","50300","3027870001",BK90,East Williamsburg,"14","14",COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",K018
14K019,K019,P.S. 019 Roberto Clemente,331400010019,DOE,General Academic,Elementary,"05,SE","0K,01,02,03,04,05",1911/07/01 00:00:00.000,Closed,K019,325 SOUTH  3 STREET,"996815","197991",-73.954678000000001,40.710107000000001,"301","34","52700","3024230001",BK73,North Side-South Side,"14","14",COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",K019
13K020,K020,P.S. 020 Clinton Hill,331300010020,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1951/07/01 00:00:00.000,Open,K020,225 ADELPHI STREET,"992321","190934",-73.970895999999996,40.690742000000000,"302","35","18300","3020910003",BK68,Fort Greene,"13","13",COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",K020
16K021,K021,P.S. 021 Crispus Attucks,331600010021,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1956/07/01 00:00:00.000,Open,K021,180 CHAUNCEY STREET,"1004588","187155",-73.926672999999994,40.680349999999997,"303","36","38100","3016920017",BK61,Crown Heights North,"16","16",COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",K021
17K022,K022,P.S. 022,331700010022,DOE,General Academic,Elementary,"05,SE","0K,01,02,03,04,05",1996/07/01 00:00:00.000,Closed,K022,443 ST MARKS AVENUE,"995319","185965",-73.960093000000001,40.677100000000003,"308","35","30500","3011480050",BK61,Crown Heights North,"17","17",COMMUNITY SCHOOL DISTRICT 17,"SIMMONS, BUFFIE",K022
14K023,K023,P.S. 023 Carter G. Woodson,331400010023,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1966/07/01 00:00:00.000,Open,K023,545 WILLOUGHBY AVENUE,"998876","192295",-73.947255999999996,40.694470000000003,"303","36","25901","3017590013",BK75,Bedford,"14","14",COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",K023
15K024,K024,P.S. 024,331500010024,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1997/07/01 00:00:00.000,Open,K024,427 38 STREET,"982992","177121",-74.004532999999995,40.652831999999997,"307","38","8400","3007010001",BK32,Sunset Park West,"15","15",COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",K024
16K025,K025,P.S. 025 Eubie Blake School,331600010025,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1942/07/01 00:00:00.000,Open,K025,787 LAFAYETTE AVENUE,"1000681","191204",-73.940748999999997,40.691471999999997,"303","36","28100","3017870014",BK35,Stuyvesant Heights,"16","16",COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",K025
16K026,K026,P.S. 026 Jesse Owens,331600010026,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1956/07/01 00:00:00.000,Open,K026,1014 LAFAYETTE AVENUE,"1003152","191221",-73.931700000000006,40.692100000000003,"303","36","29100","3016160001",BK35,Stuyvesant Heights,"16","16",COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",K026
16K026,K026,P.S. 026 Jesse Owens,331600010026,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1956/07/01 00:00:00.000,Open,K026,1014 LAFAYETTE AVENUE,"1003152","191221",-73.931700000000006,40.692100000000003,"303","36","29100","3016160001",BK35,Stuyvesant Heights,"16","16",COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",K026
15K027,K027,Agnes Y. Humphrey School for Leadership,331500010027,DOE,General Academic,K-12 all grades,"05,08,09,SE","PK,0K,01,02,03,04,05,06,07,08",1890/07/01 00:00:00.000,Closed,K027,27 HUNTINGTON STREET,"982821","186259",-74.005150999999998,40.677914000000001,"306","38","5900","3005250001",BK33,Carroll Gardens-Columbia Street-Red Hook,"15","15",COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",K027
16K028,K028,P.S. 028 The Warren Prep Academy,331600010028,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1913/07/01 00:00:00.000,Open,K040,265 RALPH AVENUE,"1006134","187116",-73.921098999999998,40.680239000000000,"303","41","37900","3015180001",BK35,Stuyvesant Heights,"16","16",COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",K028
15K029,K029,P.S. 029 John M. Harrigan,331500010029,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",1921/07/01 00:00:00.000,Open,K029,425 HENRY STREET,"984958","189512",-73.997446999999994,40.686843000000003,"306","39","4500","3003110001",BK33,Carroll Gardens-Columbia Street-Red Hook,"15","15",COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",K029
20K030,K030,P.S./I.S. 30 Mary White Ovington,332000010030,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",1997/09/11 00:00:00.000,Open,K331,7002 4TH AVENUE,"977441","170105",-74.023949999999999,40.633597999999999,"310","43","6800","3058910048",BK31,Bay Ridge,"20","20",COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",K030
14K031,K031,P.S. 031 Samuel F. Dupont,331400010031,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1900/07/01 00:00:00.000,Open,K031,75 MESEROLE AVENUE,"996961","204135",-73.954138999999998,40.726970000000001,"301","33","56100","3025950001",BK76,Greenpoint,"14","14",COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",K031
15K032,K032,P.S. 032 Samuel Mills Sprole,331500010032,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",1951/07/01 00:00:00.000,Open,K032,317 HOYT STREET,"986707","187077",-73.991140999999999,40.680159000000003,"306","39","7500","3004370001",BK33,Carroll Gardens-Columbia Street-Red Hook,"15","15",COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",K032
14K033,K033,JHS 033 Mark Hopkins,331400010033,DOE,General Academic,Junior High-Intermediate-Middle,"8","06,07,08",1957/07/01 00:00:00.000,Closed,K033,70 TOMPKINS AVENUE,"999050","193242",-73.946600000000004,40.697099999999999,"303","36","25700","3017430018",BK75,Bedford,"14","14",COMMUNITY SCHOOL DISTRICT 14,James Quail,K033
14K034,K034,P.S. 034 Oliver H. Perry,331400010034,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1867/07/01 00:00:00.000,Open,K034,131 NORMAN AVENUE,"998176","203920",-73.949755999999994,40.726377999999997,"301","33","57300","3026220028",BK76,Greenpoint,"14","14",COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",K034
16K035,K035,M.S. 035 Stephen Decatur,331600010035,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1926/07/01 00:00:00.000,Open,K035,272 MACDONOUGH STREET,"1002031","187582",-73.935890999999998,40.681528000000000,"303","36","27300","3016740011",BK35,Stuyvesant Heights,"16","16",COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",K035
75K036,K036,P.S. 36,307500013036,DOE,Special Education,K-12 all grades,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","01,02,03,04,05,06,07,08,09,10,11,12,SE",1989/06/26 00:00:00.000,Open,K857,2045 LINDEN BOULEVARD,"1015547","179922",-73.887195000000006,40.660465000000002,"305","42","110400","3043270024",BK82,East New York,"19","75",CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",K036
84K037,K037,Beginning with Children Charter School II,331400861021,Charter,General Academic,K-8,"0K,01,02,03,04,05,06,07,08","0K,01,02,03,04,05,06,07,08",2012/07/01 00:00:00.000,Open,K071,215 HEYWARD STREET,"997197","195765",-73.953304000000003,40.703995999999997,"301","33","52900","3022270001",BK72,Williamsburg,"14","84",OFFICE OF CHARTER SCHOOLS,NULL,K037
