"BUILDING 
CODE",SCHOOL NAME,TYPE,Borough,NUMBER,boro_code,ADDRESS,BOROUGH,STATE,ZIP
M001,Alfred E. Smith,PS,M,001,M001,8 HENRY STREET,MANHATTAN,NY,10038
X001,Courtlandt School,PS,X,001,X001,335 EAST 152 STREET,BRONX,NY,10451
M002,Meyer London,PS,M,002,M002,122 HENRY STREET,MANHATTAN,NY,10002
K002,"Parkside Preparatory 
Academy",MS,K,002,K002,655 PARKSIDE AVENUE,BROOKLYN,NY,11226
M003,Charrette School,PS,M,003,M003,490 HUDSON STREET,MANHATTAN,NY,10014
K003,The Bedford Village,PS,K,003,K003,50 JEFFERSON AVENUE,BROOKLYN,NY,11216
X004,Crotona Park West,PS,X,004,X004,1701 FULTON AVENUE,BRONX,NY,10457
Q667,PS004Q@ Skillman Avenue,PS,Q,004,Q004,24-30 Skillman Avenue,Long Island City,NY,11101
K843,,PS,K,004,K004,530 STANLEY AVENUE,BROOKLYN,NY,11207
Q213,P004Q @213,P (District 75),Q,004,Q004,231-02 67th Avenue,"Oakland 
Gardens",NY,11364
Q179,P004Q @P179Q,P (District 75),Q,004,Q004,196-25 PECK AVENUE,QUEENS,NY,11365
K005,Dr. Ronald Mcnair,PS,K,005,K005,820 HANCOCK STREET,BROOKLYN,NY,11233
Q005,"The Walter Crowley 
Intermediate School",IS,Q,005,Q005,50-40 JACOBUS STREET,QUEENS,NY,11373
M006,Lillie D. Blake,PS,M,006,M006,45 EAST 81 STREET,MANHATTAN,NY,10028
X006,West Farms,PS,X,006,X006,1000 EAST TREMONT AVENUE,BRONX,NY,10460
K006,,PS,K,006,K006,43 SNYDER AVENUE,BROOKLYN,NY,11226
M007,Samuel Stern,PS/MS,M,007,M007,160 EAST 120 STREET,MANHATTAN,NY,10035
R007,Elias Bernstein,IS,R,007,R007,1270 HUGUENOT AVENUE,STATEN ISLAND,NY,10312
K007,Abraham Lincoln,PS,K,007,K007,858 JAMAICA AVENUE,BROOKLYN,NY,11208
R008,Shirlee Solomon,PS,R,008,R008,112 LINDENWOOD ROAD,STATEN ISLAND,NY,10308
K008,Robert Fulton,PS,K,008,K008,37 HICKS STREET,BROOKLYN,NY,11201
R048,Naples Street Elementary School,PS,R,009,R009,1055 TARGEE STREET,STATEN ISLAND,NY,10304
X009,Ryer Avenue Elementary School,PS,X,009,X009,230 EAST 183 STREET,BRONX,NY,10458
K009,"Teunis G. Bergen (aka 
Sarah Smith Garnet)",PS,K,009,K009,80 UNDERHILL AVENUE,BROOKLYN,NY,11238
Q009,@ PS882,P (District 75),M,009,M009,58-74 57th St,Maspeth,NY,11378
Q009,Walter Reed,PS,Q,009,Q009,58-74 57 STREET,QUEENS,NY,11378
R016,Fort Hill Collaborative Elementary School,PS,R,010,R010,80 MONROE AVENUE,STATEN ISLAND,NY,10301
X101,,PS,X,010,X010,2750 LAFAYETTE AVENUE,BRONX,NY,10465
Q010,Horace Greeley,IS,Q,010,Q010,45-11 31ST AVE,QUEENS,NY,11103
Q010,Horace Greeley,IS,Q,010,Q010,45-11 31ST AVE,QUEENS,NY,11103
K010,"Magnet School of Math, Science and Design 
Technology",PS,K,010,K010,511 7 AVENUE,BROOKLYN,NY,11215
M011,William T. Harris,PS,M,011,M011,320 WEST 21 STREET,MANHATTAN,NY,10011
X011,Highbridge,PS,X,011,X011,1257 OGDEN AVENUE,BRONX,NY,10452
K011,Purvis J. Behan,PS,K,011,K011,419 WAVERLY AVENUE,BROOKLYN,NY,11238
X012,Lewis and Clark School,PS,X,012,X012,2555 TRATMAN AVENUE,BRONX,NY,10461
K012,Dr. Jacqueline Peek-Davis School,PS,K,012,K012,430 HOWARD AVENUE,BROOKLYN,NY,11233
,12X@823,P (District 75),X,012,X012,,Bronx,NY,
R013,M. L. Lindemeyer,PS,R,013,R013,191 VERMONT AVENUE,STATEN ISLAND,NY,10305
Q013,Clement C. Moore,PS,Q,013,Q013,55-01 94 STREET,QUEENS,NY,11373
Q014,Fairview,PS,Q,014,Q014,107-01 OTIS AVENUE,QUEENS,NY,11368
M015,Roberto Clemente,PS,M,015,M015,333 EAST 4 STREET,MANHATTAN,NY,10009
K015,Patrick F. Daly,PS,K,015,K015,71 SULLIVAN STREET,BROOKLYN,NY,11231
R016,John J. Driscoll,PS,R,016,R016,80 MONROE AVENUE,STATEN ISLAND,NY,10301
K016,Leonard Dunkly,PS,K,016,K016,157 WILSON STREET,BROOKLYN,NY,11211
X184,,PS,X,017,X017,778 FOREST AVENUE,BRONX,NY,10456
Q017,Henry David Thoreau,PS,Q,017,Q017,28-37 29 STREET,QUEENS,NY,11102
M898,Park Terrace,PS/IS,M,018,M018,4124 9 AVENUE,MANHATTAN,NY,10034
X018,John Peter Zenger,PS,X,018,X018,502 MORRIS AVENUE,BRONX,NY,10451
Q018,Winchester,PS,Q,018,Q018,86-35 235 COURT,QUEENS,NY,11427
Q019,Marino Jeantet,PS,Q,019,Q019,98-02 ROOSEVELT AVENUE,QUEENS,NY,11368
X020,"P.O.George J. Werdann, III",PS/MS,X,020,X020,3050 WEBSTER AVENUE,BRONX,NY,10467
K020,Clinton Hill,PS,K,020,K020,225 ADELPHI STREET,BROOKLYN,NY,11205
Q020,John Bowne,PS,Q,020,Q020,142-30 BARCLAY AVENUE,QUEENS,NY,11355
R021,Margaret Emery-Elm Park,PS,R,021,R021,168 HOOKER PLACE,STATEN ISLAND,NY,10303
K021,Crispus Attucks,CS,K,021,K021,180 CHAUNCEY STREET,BROOKLYN,NY,11233
X022,Jordan L. Mott,MS,X,022,X022,270 EAST 167 STREET,BRONX,NY,10456
Q022,Thomas Je!erson,PS,Q,022,Q022,153-33 SANFORD AVENUE,QUEENS,NY,11355
X023,The New Children's School,PS,X,023,X023,2151 WASHINGTON AVENUE,BRONX,NY,10457
,New York City Children's Center - Queens,P (District 75),Q,023,Q023,"74-03 Commonwealth 
Boulevard",Bellerose,NY,11426
QAPM,"Queens Children's 
Psychiatric Center",PS,Q,023,Q023,"74-03 COMMONWEALTH 
BOULEVARD",QUEENS,NY,11426
QLCC,Lifeline Center for Child Development,PS,Q,023,Q023,80-09 Winchester Blvd,Queens Village,NY,11427
R024,Myra S. Barnes,IS,R,024,R024,225 CLEVELAND AVENUE,STATEN ISLAND,NY,10308
X024,Spuyten Duyvil,PS,X,024,X024,660 WEST 236 STREET,BRONX,NY,10463
K024,The Dual Language School of International Studies,PS,K,024,K024,427 38 STREET,BROOKLYN,NY,11232
X025,Bilingual School,PS,X,025,X025,811 EAST 149 STREET,BRONX,NY,10455
K025,Eubie Blake School,PS,K,025,K025,787 LAFAYETTE AVENUE,BROOKLYN,NY,11221
R026,The Carteret School,PS,R,026,R026,4108 VICTORY BOULEVARD,STATEN ISLAND,NY,10314
K026,Jesse Owens,PS,K,026,K026,1014 LAFAYETTE AVENUE,BROOKLYN,NY,11221
M028,Wright Brothers,PS,M,028,M028,475 WEST 155 STREET,MANHATTAN,NY,10032
X029,Melrose School,PS/MS,X,029,X029,758 COURTLANDT AVENUE,BRONX,NY,10451
K029,John M. Harrigan,PS,K,029,K029,425 HENRY STREET,BROOKLYN,NY,11201
M030,Hernandez/Hughes,PS,M,030,M030,144-176 EAST 128 STREET,MANHATTAN,NY,10035
X030,The Wilton School,PS,X,030,X030,510 EAST 141 STREET,BRONX,NY,10454
K331,Mary White Ovington,PS/IS,K,030,K030,7002 4TH AVENUE,BROOKLYN,NY,11209
X151,The William Lloyd Garrison,PS/MS,X,031,X031,250 EAST 156 STREET,BRONX,NY,10451
K031,Samuel F. Dupont,PS,K,031,K031,75 MESEROLE AVENUE,BROOKLYN,NY,11222
X032,Belmont,PS,X,032,X032,690 EAST 183 STREET,BRONX,NY,10458
K032,,PS,K,032,K032,317 HOYT STREET,BROOKLYN,NY,11231
Q032,State Street,PS,Q,032,Q032,171-11 35 AVENUE,QUEENS,NY,11358
M033,Chelsea Prep,PS,M,033,M033,281 9 AVENUE,MANHATTAN,NY,10001
M034,Franklin D. Roosevelt,PS/MS,M,034,M034,730 EAST 12 STREET,MANHATTAN,NY,10009
K034,Oliver H. Perry,PS,K,034,K034,131 NORMAN AVENUE,BROOKLYN,NY,11222
X035,Franz Siegel,PS,X,035,X035,261 EAST 163 STREET,BRONX,NY,10451
M036,Margaret Douglas,PS,M,036,M036,123 MORNINGSIDE DRIVE,MANHATTAN,NY,10027
K857,,PS,K,036,K036,2045 LINDEN BOULEVARD,BROOKLYN,NY,11207
K224,@PS224,P (District 75),K,036,K036,755 Wortman Avenue,Brooklyn,NY,11208
K877,PS36K @ Flatbush Town Hall,PS,K,036,K036,35 Snyder Avenue,Brooklyn,NY,11226
Q036,Saint Albans School,PS,Q,036,Q036,187-01 FOCH BOULEVARD,QUEENS,NY,11412
M206,River East Elementary,PS,M,037,M037,508 EAST 120 STREET,MANHATTAN,NY,10035
R840,,PS,R,037,R037,15 FAIRFIELD STREET,STATEN ISLAND,NY,10308
R843,Great Kills High School (@843),PS,R,037,R037,110 Shafter Avenue,Staten Island,NY,10308
M121,Roberto Clemente,PS,M,038,M038,232 EAST 103 STREET,MANHATTAN,NY,10029
K038,"The Paci""c",PS,K,038,K038,450 PACIFIC STREET,BROOKLYN,NY,11217
R039,Francis J. Murphy Jr.,PS,R,039,R039,71 SAND LANE,STATEN ISLAND,NY,10305
K039,Henry Bristow,PS,K,039,K039,417 6 AVENUE,BROOKLYN,NY,11215
K040,George W. Carver,PS,K,040,K040,265 RALPH AVENUE,BROOKLYN,NY,11233
K041,Francis White,PS/IS,K,041,K041,411 THATFORD AVENUE,BROOKLYN,NY,11212
M042,Benjamin Altman,PS,M,042,M042,71 HESTER STREET,MANHATTAN,NY,10002
X042,Claremont,PS,X,042,X042,1537 WASHINGTON AVENUE,BRONX,NY,10457
X043,Jonas Bronck,PS,X,043,X043,165 BROWN PLACE,BRONX,NY,10454
R044,Thomas C. Brown,PS,R,044,R044,80 MAPLE PARKWAY,STATEN ISLAND,NY,10303
R045,John Tyler,PS,R,045,R045,58 LAWRENCE AVENUE,STATEN ISLAND,NY,10310
X046,Edgar Allan Poe,PS,X,046,X046,279 EAST 196 STREET,BRONX,NY,10458
K046,Edward C. Blum,PS,K,046,K046,100 CLERMONT AVENUE,BROOKLYN,NY,11205
M048,P.O. Michael J. Buczek,PS,M,048,M048,4360-78 BROADWAY,MANHATTAN,NY,10033
R071,William G. Wilcox,PS/MS,R,048,R048,1050 Targee Street,Staten Island,NY,10304
X048,Joseph R. Drake,PS,X,048,X048,1290 SPOFFORD AVENUE,BRONX,NY,10474
R049,Berta A. Dreyfus,IS,R,049,R049,101 WARREN STREET,STATEN ISLAND,NY,10304
X049,Willis Avenue,PS,X,049,X049,383 EAST 139 STREET,BRONX,NY,10454
M050,Vito Marcantonio,PS/MS,M,050,M050,433 EAST 100 STREET,MANHATTAN,NY,10029
Q050,Talfourd Lawn Elementary School,PS,Q,050,Q050,143-26 101 AVENUE,QUEENS,NY,11435
M338,Elias Howe,PS,M,051,M051,525 WEST 44TH STREET,MANHATTAN,NY,10036
K051,William Alexander,MS,K,051,K051,350 5 AVENUE,BROOKLYN,NY,11215
M052,Inwood,JHS,M,052,M052,650 ACADEMY STREET,MANHATTAN,NY,10034
Q052,,PS,Q,052,Q052,178-37 146 TERRACE,QUEENS,NY,11434
K088,P53K,PS,K,053,K053,544 7TH AVENUE,BROOKLYN,NY,11215
,53@PS437,PS,K,053,K053,713 Caton Ave,Brooklyn,NY,11218
,P53K@ Spring Creek,HS,K,053,K053,1065 Elton Street,Brooklyn,NY,11239
Q053,Brian Piccolo,MS,Q,053,Q053,10-45 NAMEOKE STREET,QUEENS,NY,11691
X054,,PS/IS,X,054,X054,2703 WEBSTER AVENUE,BRONX,NY,10458
K054,Samuel C. Barnes,PS,K,054,K054,195 SANFORD STREET,BROOKLYN,NY,11205
R055,Henry M. Boehm,PS,R,055,R055,54 OSBORNE STREET,STATEN ISLAND,NY,10312
X055,Benjamin Franklin,CS,X,055,X055,450 St. Paul's Place,Bronx,NY,10456
X177,Norwood Heights,PS,X,056,X056,3177 WEBSTER AVENUE,BRONX,NY,10467
K056,Lewis H. Latimer,PS,K,056,K056,170 GATES AVENUE,BROOKLYN,NY,11238
R057,Hubert H. Humphrey,PS,R,057,R057,140 PALMA DRIVE,STATEN ISLAND,NY,10304
X057,Crescent,PS,X,057,X057,2111 CROTONA AVENUE,BRONX,NY,10457
K058,The Carroll,PS,K,058,K058,330 SMITH STREET,BROOKLYN,NY,11231
K059,William Floyd,PS,K,059,K059,211 THROOP AVENUE,BROOKLYN,NY,11206
X061,Francisco Oller,PS,X,061,X061,1550 CROTONA PARK EAST,BRONX,NY,10460
Q061,Leonardo Da Vinci,IS,Q,061,Q061,98-50 50 AVENUE,QUEENS,NY,11368
R062,"The Kathleen Grimm 
School for Leadership and Sustainability",PS,R,062,R062,644 Bloomingdale Road,STATEN ISLAND,NY,10309
X062,Inocensio Casanova,PS,X,062,X062,660 FOX STREET,BRONX,NY,10455
M063,The STAR Academy,PS,M,063,M063,121 EAST 3 STREET,MANHATTAN,NY,10009
X063,Author's Academy,PS,X,063,X063,1260 FRANKLIN AVENUE,BRONX,NY,10456
M064,Robert Simon,PS,M,064,M064,600 EAST 6 STREET,MANHATTAN,NY,10009
Q064,Joseph P. Addabbo,PS,Q,064,Q064,82-01 101 AVENUE,QUEENS,NY,11416
K798,,PS,K,065,K065,696 JAMAICA AVENUE,BROOKLYN,NY,11208
X066,"School of Higher 
Expectations",PS,X,066,X066,1001 JENNINGS STREET,BRONX,NY,10460
X068,Public School 68,PS,X,068,X068,4011 MONTICELLO AVENUE,BRONX,NY,10466
K068,Isaac Bildersee,IS,K,068,K068,956 EAST 82 STREET,BROOKLYN,NY,11236
Q068,Cambridge,PS,Q,068,Q068,59-09 SAINT FELIX AVENUE,QUEENS,NY,11385
X069,Journey Prep School,PS,X,069,X069,560 THIERIOT AVENUE,BRONX,NY,10473
Q069,Jackson Heights,PS,Q,069,Q069,77-02 37 AVENUE,QUEENS,NY,11372
Q070,,PS,Q,070,Q070,30-45 42 STREET,QUEENS,NY,11103
X071,Rose E. Scala,PS,X,071,X071,3040 ROBERTS AVENUE,BRONX,NY,10461
R072,Rocco Laurie,IS,R,072,R072,33 FERNDALE AVENUE,STATEN ISLAND,NY,10314
Q072,Catherine & Count Basie Middle School 72,,Q,072,Q072,"133-25 GUY R BREWER 
BOULEVARD",QUEENS,NY,11434
Q074,Nathaniel Hawthorne,JHS,Q,074,Q074,61-15 OCEANIA STREET,QUEENS,NY,11364
M075,Emily Dickinson,PS,M,075,M075,735 WEST END AVENUE,MANHATTAN,NY,10025
K075,Mayda Cortiella,PS,K,075,K075,95 GROVE STREET,BROOKLYN,NY,11221
X034,,PS,X,076,X076,770 GROTE STREET,BRONX,NY,10460
X034,,PS,X,076,X076,770 GROTE STREET,BRONX,NY,10460
X034,,PS,X,076,X076,770 GROTE STREET,BRONX,NY,10460
X177,Bedford Park Elementary School,,X,077,X077,3177 WEBSTER AVENUE,BRONX,NY,10467
K902,,PS,K,077,K077,62 Park Place,BROOKLYN,NY,11217
Q868,Robert F. Wagner,PS,Q,078,Q078,48-09 CENTER BOULEVARD,QUEENS,NY,11109
